18.275667 257.683915	5.57e-01  8.79e-01  3.85e+02	-3.4014 23.3150 0.2811	
18.275667 257.683915	7.41e-01  8.26e-01  3.72e+02	-6.8423 37.4732 0.3352	
18.275667 257.683915	6.04e-01  8.54e-01  3.84e+02	-5.3967 24.6285 0.7436	
18.275667 257.683915	7.12e-01  8.06e-01  3.78e+02	14.8785 28.3646 0.1918	
18.275667 257.683915	7.42e-01  8.53e-01  3.68e+02	-14.2278 38.8761 0.5739	
18.275667 257.683915	6.79e-01  8.75e-01  3.73e+02	-3.2664 37.6033 0.6549	
18.275667 257.683915	8.67e-01  9.37e-01  3.43e+02	-1.5436 57.9885 0.7213	
18.275667 257.683915	6.50e-01  8.29e-01  3.83e+02	-1.7974 26.9612 0.7989	
18.275667 257.683915	5.80e-01  9.05e-01  3.79e+02	-8.9530 30.6199 0.5647	
18.275667 257.683915	6.89e-01  9.48e-01  3.61e+02	15.5683 44.3908 0.6436	
18.275667 257.683915	8.14e-01  9.20e-01  3.51e+02	-3.2020 53.2521 0.0478	
18.275667 257.683915	6.36e-01  9.64e-01  3.64e+02	-5.8353 44.4147 0.3563	
18.275667 257.683915	7.12e-01  8.03e-01  3.79e+02	2.6741 31.2787 0.6354	
18.275667 257.683915	7.13e-01  9.42e-01  3.59e+02	14.3190 46.0237 0.2276	
18.275667 257.683915	7.33e-01  8.32e-01  3.72e+02	-10.2058 36.6297 0.1990	
18.275667 257.683915	8.05e-01  9.03e-01  3.54e+02	-10.5678 50.3123 0.4506	
18.275667 257.683915	6.68e-01  8.97e-01  3.71e+02	-6.5085 39.0373 0.2272	
18.275667 257.683915	6.99e-01  8.13e-01  3.79e+02	16.7956 26.2641 0.7523	
18.275667 257.683915	6.65e-01  9.09e-01  3.69e+02	13.9184 38.3065 0.0627	
18.275667 257.683915	6.72e-01  7.97e-01  3.85e+02	1.8867 24.1340 0.3483	
18.275667 257.683915	6.33e-01  9.18e-01  3.71e+02	-16.2114 35.5108 0.8032	
18.275667 257.683915	6.00e-01  9.53e-01  3.69e+02	-18.9972 36.1146 0.6881	
18.275667 257.683915	7.62e-01  8.98e-01  3.60e+02	-2.2304 47.7203 0.6340	
18.275667 257.683915	6.32e-01  9.47e-01  3.67e+02	-21.2011 36.9021 0.2379	
18.275667 257.683915	7.17e-01  8.25e-01  3.75e+02	-7.1338 34.5535 0.9180	
18.275667 257.683915	7.73e-01  9.48e-01  3.52e+02	15.9776 50.3718 0.4720	
18.275667 257.683915	6.51e-01  9.31e-01  3.67e+02	7.5646 41.5710 0.4148	
18.275667 257.683915	6.91e-01  8.58e-01  3.74e+02	1.9344 36.7465 0.3726	
18.275667 257.683915	6.52e-01  9.06e-01  3.71e+02	-17.2821 35.2006 0.1143	
18.275667 257.683915	6.49e-01  9.32e-01  3.67e+02	4.0909 41.9776 0.5525	
18.275667 257.683915	6.76e-01  8.99e-01  3.69e+02	2.5393 40.4778 0.6994	
18.275667 257.683915	5.49e-01  9.30e-01  3.78e+02	-0.6170 32.7856 0.3088	
18.275667 257.683915	6.61e-01  9.70e-01  3.60e+02	6.7328 46.8126 0.2444	
18.275667 257.683915	7.11e-01  8.32e-01  3.75e+02	8.9707 34.4405 0.6513	
18.275667 257.683915	6.01e-01  8.65e-01  3.83e+02	-10.9566 24.7347 0.9545	
18.275667 257.683915	7.19e-01  8.56e-01  3.71e+02	5.5218 39.1871 0.2620	
18.275667 257.683915	7.20e-01  8.61e-01  3.70e+02	9.7456 39.0080 0.7993	
18.275667 257.683915	6.97e-01  8.89e-01  3.68e+02	19.7458 36.2967 0.9865	
18.275667 257.683915	6.15e-01  8.75e-01  3.80e+02	-2.9213 30.6269 0.2695	
18.275667 257.683915	5.00e-01  9.12e-01  3.85e+02	13.1188 19.3612 0.4681	
18.275667 257.683915	6.92e-01  8.68e-01  3.72e+02	-6.4191 37.7303 0.0469	
18.275667 257.683915	7.19e-01  8.14e-01  3.77e+02	-11.9873 31.7895 0.0131	
18.275667 257.683915	7.02e-01  9.62e-01  3.57e+02	-3.0086 49.2096 0.6738	
18.275667 257.683915	7.44e-01  9.19e-01  3.59e+02	-38.0423 29.7995 0.0933	
18.275667 257.683915	7.67e-01  8.46e-01  3.66e+02	-12.6910 41.2188 0.6676	
18.275667 257.683915	7.62e-01  8.05e-01  3.72e+02	11.9323 36.0548 0.9729	
18.275667 257.683915	7.08e-01  8.72e-01  3.70e+02	7.9266 39.5090 0.5060	
18.275667 257.683915	5.80e-01  9.21e-01  3.76e+02	-10.5506 32.8268 0.9925	
18.275667 257.683915	7.81e-01  8.04e-01  3.70e+02	-2.0612 39.9204 0.2902	
18.275667 257.683915	5.39e-01  9.24e-01  3.80e+02	16.5069 25.8941 0.0082	
18.275667 257.683915	8.52e-01  8.63e-01  3.54e+02	-16.9969 48.8647 0.2863	
18.275667 257.683915	7.09e-01  8.81e-01  3.68e+02	-0.1514 41.4903 0.1710	
18.275667 257.683915	5.47e-01  9.57e-01  3.74e+02	11.6985 34.9856 0.1050	
18.275667 257.683915	7.60e-01  8.35e-01  3.69e+02	6.5598 40.7062 0.7452	
18.275667 257.683915	7.15e-01  8.61e-01  3.70e+02	-15.6812 36.3986 0.3006	
18.275667 257.683915	6.72e-01  8.62e-01  3.75e+02	4.8055 34.8593 0.4848	
18.275667 257.683915	5.25e-01  9.43e-01  3.78e+02	6.4393 31.9978 0.7439	
18.275667 257.683915	4.97e-01  9.64e-01  3.77e+02	17.2576 28.9749 0.9142	
18.275667 257.683915	7.01e-01  9.43e-01  3.60e+02	-0.0769 47.3897 0.4227	
18.275667 257.683915	6.15e-01  9.09e-01  3.74e+02	-12.9277 33.7695 0.8242	
18.275667 257.683915	6.13e-01  8.69e-01  3.81e+02	24.8217 15.5497 0.5620	
18.275667 257.683915	7.82e-01  8.78e-01  3.60e+02	1.5511 47.5094 0.7663	
18.275667 257.683915	6.49e-01  9.76e-01  3.61e+02	-6.2006 46.6452 0.3603	
18.275667 257.683915	6.46e-01  8.56e-01  3.79e+02	8.6263 30.0531 0.1540	
18.275667 257.683915	6.23e-01  8.75e-01  3.79e+02	-16.7816 26.8021 0.5755	
18.275667 257.683915	6.54e-01  8.87e-01  3.74e+02	3.1155 36.7365 0.5963	
18.275667 257.683915	6.98e-01  9.16e-01  3.64e+02	13.2788 42.4165 0.0043	
18.275667 257.683915	5.31e-01  9.66e-01  3.74e+02	8.0913 36.0371 0.6390	
18.275667 257.683915	7.08e-01  9.20e-01  3.63e+02	-14.5954 43.1928 0.1747	
18.275667 257.683915	7.93e-01  8.66e-01  3.61e+02	21.3269 42.1389 0.0649	
18.275667 257.683915	6.67e-01  9.23e-01  3.67e+02	-5.3769 42.3095 0.5933	
18.275667 257.683915	7.55e-01  8.92e-01  3.61e+02	18.9791 42.6249 0.6324	
18.275667 257.683915	8.15e-01  8.62e-01  3.58e+02	-21.0924 43.9230 0.4639	
18.275667 257.683915	6.71e-01  8.45e-01  3.78e+02	18.0952 27.1079 0.6201	
