22.494444 188.310913	5.24e+04  5.56e+04  7.44e+04	 20.89 15.90	 -0.5010 -0.4424 0.9546	
22.494444 188.310913	5.29e+04  5.76e+04  7.20e+04	 34.79 1.00	 -0.5552 0.2697 -0.3611	
22.494444 188.310913	4.03e+04  6.53e+04  7.68e+04	 24.34 -5.37	 0.0066 0.0910 -0.9932	
22.494444 188.310913	4.80e+04  5.54e+04  7.90e+04	 51.75 -0.46	 -0.2148 -0.0542 0.9473	
22.494444 188.310913	3.09e+04  7.14e+04  8.01e+04	 38.73 5.66	 0.4760 -0.0706 0.8000	
22.494444 188.310913	4.91e+04  6.24e+04  7.09e+04	 52.55 -10.77	 0.4881 -0.9109 -0.8019	
22.494444 188.310913	5.14e+04  5.69e+04  7.41e+04	 46.64 -14.13	 0.2016 -0.2712 -0.5379	
22.494444 188.310913	5.09e+04  5.98e+04  7.17e+04	 40.36 29.27	 -0.7391 -0.8208 0.9902	
22.494444 188.310913	3.67e+04  6.08e+04  8.48e+04	 39.80 7.78	 0.5759 0.8620 0.8122	
22.494444 188.310913	3.32e+04  6.62e+04  8.30e+04	 31.08 8.57	 0.4703 -0.5160 -0.9615	
22.494444 188.310913	4.82e+04  6.22e+04  7.20e+04	 36.19 -5.99	 0.3519 -0.3418 -0.9945	
22.494444 188.310913	4.00e+04  6.40e+04  7.85e+04	 27.18 14.43	 0.4015 -0.9743 -0.5931	
22.494444 188.310913	4.55e+04  5.57e+04  8.12e+04	 40.10 7.38	 -0.7894 -0.9839 0.8788	
22.494444 188.310913	3.83e+04  6.68e+04  7.73e+04	 52.66 2.82	 -0.6250 0.3281 -0.9223	
22.494444 188.310913	3.69e+04  6.77e+04  7.78e+04	 49.25 5.34	 0.2323 -0.8041 -0.7581	
22.494444 188.310913	4.14e+04  6.84e+04  7.26e+04	 44.76 15.27	 -0.6709 -0.3386 0.9239	
22.494444 188.310913	4.78e+04  5.56e+04  7.90e+04	 20.27 -12.01	 -0.5325 -0.8395 0.9056	
22.494444 188.310913	4.14e+04  6.25e+04  7.85e+04	 35.38 29.27	 -0.8563 0.2793 -0.7131	
22.494444 188.310913	4.94e+04  6.01e+04  7.29e+04	 46.47 1.27	 0.5858 -0.6744 -0.7640	
22.494444 188.310913	5.06e+04  6.28e+04  6.90e+04	 54.05 -9.55	 -0.8272 0.3140 -0.4502	
22.494444 188.310913	3.77e+04  6.98e+04  7.49e+04	 45.44 -8.29	 -0.5549 -0.4787 -0.2845	
22.494444 188.310913	3.07e+04  7.10e+04  8.07e+04	 40.38 6.50	 0.3804 0.6449 0.9032	
22.494444 188.310913	3.73e+04  6.36e+04  8.15e+04	 47.65 -7.61	 -0.8156 0.8589 -0.4522	
22.494444 188.310913	4.27e+04  6.21e+04  7.76e+04	 50.90 -21.09	 0.1627 -0.2246 -0.6391	
22.494444 188.310913	3.01e+04  6.80e+04  8.43e+04	 35.36 25.52	 0.1148 -0.5300 -0.7555	
22.494444 188.310913	4.01e+04  6.14e+04  8.09e+04	 42.40 15.73	 0.4631 -0.6349 -0.9614	
22.494444 188.310913	4.18e+04  6.22e+04  7.84e+04	 41.13 -10.18	 0.2975 0.1767 0.9434	
22.494444 188.310913	4.09e+04  6.54e+04  7.61e+04	 40.05 4.02	 0.5741 0.5154 0.6564	
22.494444 188.310913	4.95e+04  5.77e+04  7.52e+04	 39.74 -10.85	 -0.1936 0.7901 0.1152	
22.494444 188.310913	5.01e+04  5.31e+04  7.92e+04	 29.95 -4.73	 0.4078 0.5302 0.9901	
22.494444 188.310913	3.10e+04  7.08e+04  8.07e+04	 36.34 -4.68	 -0.9613 0.9763 -0.8953	
22.494444 188.310913	3.76e+04  6.68e+04  7.80e+04	 59.46 -0.34	 0.2086 -0.9040 -0.3041	
22.494444 188.310913	3.78e+04  6.22e+04  8.24e+04	 55.81 -13.25	 -0.1929 -0.4265 0.7269	
22.494444 188.310913	3.97e+04  6.00e+04  8.27e+04	 22.54 13.84	 -0.7533 -0.7030 0.9141	
22.494444 188.310913	5.18e+04  5.34e+04  7.72e+04	 56.20 0.42	 -0.0059 -0.3198 0.9308	
22.494444 188.310913	3.87e+04  6.44e+04  7.92e+04	 20.72 13.40	 -0.2520 0.2826 -0.9939	
22.494444 188.310913	3.71e+04  6.76e+04  7.77e+04	 48.91 -13.11	 -0.3355 -0.1336 0.2797	
22.494444 188.310913	4.06e+04  6.38e+04  7.79e+04	 43.13 -2.90	 -0.9637 0.9730 -0.9810	
22.494444 188.310913	3.88e+04  6.57e+04  7.78e+04	 41.74 -3.34	 -0.3688 0.8800 -0.7653	
22.494444 188.310913	5.13e+04  5.92e+04  7.18e+04	 38.04 17.42	 0.4033 -0.4946 0.2663	
22.494444 188.310913	4.20e+04  6.37e+04  7.66e+04	 45.88 -11.29	 0.0223 -0.5444 0.7609	
