13.453624 61.032778	1.55e+03  3.61e+04  3.76e+04	 0.00 6.94	 0.9771 0.9972 0.9772	
13.453624 61.032778	9.45e+02  3.70e+04  3.73e+04	 0.00 13.42	 0.8884 0.5419 0.8546	
13.453624 61.032778	8.17e+02  3.69e+04  3.75e+04	 0.00 -6.22	 0.9753 0.9818 0.9993	
13.453624 61.032778	9.54e+02  3.67e+04  3.76e+04	 0.00 -1.54	 0.4197 -0.4705 -0.9984	
13.453624 61.032778	1.47e+03  3.62e+04  3.76e+04	 0.00 1.68	 0.8358 0.8433 0.9999	
13.453624 61.032778	1.51e+03  3.61e+04  3.76e+04	 0.00 5.92	 0.8069 -0.6739 -0.9802	
13.453624 61.032778	1.18e+03  3.66e+04  3.75e+04	 0.00 -21.72	 0.0971 0.4910 -0.5066	
13.453624 61.032778	1.62e+02  3.75e+04  3.76e+04	 0.00 -5.39	 -0.4071 0.6116 -0.9492	
13.453624 61.032778	2.15e+03  3.59e+04  3.73e+04	 0.00 15.29	 0.9252 0.9010 0.9646	
13.453624 61.032778	8.24e+02  3.69e+04  3.75e+04	 0.00 9.92	 -0.2155 -0.0627 -0.9602	
13.453624 61.032778	1.93e+03  3.60e+04  3.74e+04	 0.00 12.62	 -0.1813 0.4359 -0.9615	
13.453624 61.032778	1.80e+03  3.63e+04  3.72e+04	 0.00 18.74	 -0.5899 -0.8810 0.8605	
13.453624 61.032778	2.02e+03  3.57e+04  3.76e+04	 0.00 5.83	 0.8625 -0.8787 -0.9978	
13.453624 61.032778	8.46e+02  3.72e+04  3.73e+04	 0.00 -14.14	 -0.4926 0.3956 -0.9918	
13.453624 61.032778	1.36e+03  3.65e+04  3.74e+04	 0.00 -22.42	 0.6826 -0.9712 -0.5407	
13.453624 61.032778	8.48e+02  3.68e+04  3.76e+04	 0.00 -8.06	 0.2290 0.3299 0.9245	
13.453624 61.032778	1.63e+03  3.60e+04  3.76e+04	 0.00 3.89	 -0.1048 0.0168 -0.9957	
13.453624 61.032778	7.93e+02  3.69e+04  3.76e+04	 0.00 11.05	 0.9904 0.8354 0.7971	
13.453624 61.032778	2.00e+03  3.60e+04  3.73e+04	 0.00 16.04	 0.7369 -0.4737 -0.9386	
13.453624 61.032778	1.70e+03  3.60e+04  3.76e+04	 0.00 -5.30	 -0.2033 0.2152 -0.9991	
13.453624 61.032778	4.76e+02  3.72e+04  3.76e+04	 0.00 -1.00	 0.8656 -0.8524 -0.9994	
13.453624 61.032778	9.98e+02  3.66e+04  3.76e+04	 0.00 0.07	 0.6964 -0.6963 -1.0000	
13.453624 61.032778	1.05e+03  3.66e+04  3.76e+04	 0.00 -1.18	 0.2459 -0.2529 -0.9995	
13.453624 61.032778	1.88e+03  3.58e+04  3.76e+04	 0.00 2.56	 -0.1247 0.1210 -0.9993	
13.453624 61.032778	8.67e+02  3.71e+04  3.74e+04	 0.00 14.93	 -0.0605 -0.8643 -0.4327	
13.453624 61.032778	1.75e+03  3.59e+04  3.76e+04	 0.00 1.23	 0.3014 -0.3416 -0.9991	
13.453624 61.032778	1.48e+03  3.67e+04  3.72e+04	 0.00 19.02	 0.8850 0.6081 0.8604	
13.453624 61.032778	1.83e+03  3.58e+04  3.76e+04	 0.00 -8.67	 -0.2268 0.4786 -0.9637	
13.453624 61.032778	4.96e+02  3.71e+04  3.76e+04	 0.00 0.15	 0.0989 -0.0970 -1.0000	
13.453624 61.032778	3.14e+02  3.74e+04  3.76e+04	 0.00 -7.71	 0.7404 -0.8657 -0.9369	
13.453624 61.032778	2.83e+02  3.74e+04  3.76e+04	 0.00 -5.59	 0.7727 -0.6147 -0.9225	
13.453624 61.032778	4.56e+02  3.72e+04  3.76e+04	 0.00 3.22	 0.8277 -0.8278 -0.9809	
13.453624 61.032778	7.67e+02  3.69e+04  3.76e+04	 0.00 7.56	 -0.2380 0.1160 -0.9382	
13.453624 61.032778	2.12e+03  3.59e+04  3.73e+04	 0.00 20.03	 -0.0283 0.1951 -0.8013	
13.453624 61.032778	8.73e+02  3.68e+04  3.76e+04	 0.00 -18.46	 -0.1221 0.6212 0.3074	
13.453624 61.032778	1.37e+03  3.63e+04  3.76e+04	 0.00 -21.30	 0.3784 -0.6385 -0.4299	
13.453624 61.032778	1.37e+03  3.67e+04  3.72e+04	 0.00 16.29	 -0.8333 -0.5457 0.7728	
13.453624 61.032778	1.17e+03  3.66e+04  3.75e+04	 0.00 -15.22	 -0.3568 0.3611 -0.7677	
13.453624 61.032778	1.07e+03  3.66e+04  3.76e+04	 0.00 6.27	 -0.2424 0.0758 -0.9843	
13.453624 61.032778	2.03e+03  3.56e+04  3.76e+04	 0.00 4.12	 -0.2003 0.2203 -0.9993	
13.453624 61.032778	1.96e+03  3.59e+04  3.74e+04	 0.00 15.76	 0.5269 -0.1070 -0.8892	
13.453624 61.032778	1.14e+02  3.75e+04  3.76e+04	 0.00 2.73	 -0.3540 0.5582 -0.9516	
13.453624 61.032778	1.58e+03  3.61e+04  3.76e+04	 0.00 4.74	 0.5319 -0.5115 -0.9971	
13.453624 61.032778	3.08e+02  3.73e+04  3.76e+04	 0.00 6.34	 0.9999 -0.9100 -0.9156	
13.453624 61.032778	4.26e+02  3.72e+04  3.76e+04	 0.00 -0.63	 0.2842 0.2680 0.9992	
13.453624 61.032778	1.23e+03  3.65e+04  3.76e+04	 0.00 12.09	 0.7596 0.6455 0.8923	
13.453624 61.032778	1.38e+03  3.67e+04  3.72e+04	 0.00 -17.09	 0.0592 0.6257 -0.7036	
13.453624 61.032778	1.61e+03  3.60e+04  3.76e+04	 0.00 2.96	 0.5155 -0.5057 -0.9997	
13.453624 61.032778	2.11e+03  3.57e+04  3.75e+04	 0.00 -8.97	 0.6034 -0.6831 -0.9944	
13.453624 61.032778	1.68e+03  3.62e+04  3.74e+04	 0.00 20.73	 0.6897 0.8147 0.6119	
13.453624 61.032778	1.92e+03  3.62e+04  3.72e+04	 0.00 19.57	 -0.6458 0.7344 -0.7820	
13.453624 61.032778	8.48e+02  3.68e+04  3.76e+04	 0.00 -4.65	 0.7433 0.7057 0.9985	
13.453624 61.032778	1.90e+03  3.61e+04  3.73e+04	 0.00 -14.47	 0.2252 0.4909 0.9568	
13.453624 61.032778	1.61e+03  3.61e+04  3.76e+04	 0.00 3.60	 0.5176 -0.4905 -0.9993	
13.453624 61.032778	1.86e+03  3.60e+04  3.74e+04	 0.00 -12.64	 -0.0022 0.1774 -0.9492	
13.453624 61.032778	1.77e+03  3.62e+04  3.73e+04	 0.00 14.74	 0.8580 0.6142 0.9320	
13.453624 61.032778	2.06e+03  3.59e+04  3.73e+04	 0.00 20.39	 0.8460 0.9615 0.7588	
13.453624 61.032778	1.58e+03  3.61e+04  3.76e+04	 0.00 -5.10	 0.8059 -0.8000 -0.9897	
